file_identifier,Co,Ni,Fe,Ni_in_nonCo,Temp,Time,Tafel_slope,Tafel_intercept,CA_final,CA_max
Co50 Ni0 Fe50 300C 2h_,50,0,50,0,300,2,135,0.84,0.398,2.08109612718093
Co50 Ni0 Fe50 300C 2h,50,0,50,0,300,2,128,0.78,0.781,1.89612869719664
Co0 Ni50 Fe50 400C 2h,0,50,50,50,400,2,137,0.89,0.344,0.723989232236689
Co25 Ni25 Fe50 600C 2h_elect1,25,25,50,33.3333333333333,600,2,,,0.736,1.0029149590839
Co25 Ni25 Fe50 600C 2h_elect2,25,25,50,33.3333333333333,600,2,,,0.881,0.961334239850281
Co25 Ni25 Fe50 600C 2h_elect3,25,25,50,33.3333333333333,600,2,,,0.464,0.545167307477248
Co33 Ni33 Fe33 800C 2h,33,33,33,50,800,2,154,1.04,0.067,0.069685496784677
Co50 Ni50 Fe0 300C 6h,50,50,0,100,300,6,333,1.84,0.038,0.162434846455497
Co50 Ni50 Fe0 300C 6h,50,50,0,100,300,6,311,1.5,0.227,0.259684790735659
Co0 Ni0 Fe100 400C 6h,0,0,100,0,400,6,121,0.85,0.243,0.249297881126403
Co0 Ni0 Fe100 400C 6h,0,0,100,0,400,6,109,0.83,0.156,0.157124776361471
Co25 Ni75 Fe0 600C 6h,25,75,0,100,600,6,188,1.12,0.124,0.132320518829495
Co25 Ni0 Fe75 800C 6h,25,0,75,0,800,6,213,1.06,0.633,0.641718753687033
Co25 Ni0 Fe75 800C 6h,25,0,75,0,800,6,193,0.97,0.938,0.944779151370845
Co25 Ni50 Fe25 300C 12h,25,50,25,66.6666666666667,300,12,154,0.99,0.106,0.248693615852332
Co100 Ni0 Fe0 400C 12h,100,0,0,0,400,12,243,1.15,0.932,6.49785959625245
Co0 Ni25 Fe75 600C 12h,0,25,75,25,600,12,144,1.04,0.036,0.0470025851142288
Co0 Ni100 Fe0 800C 12h 1,0,100,0,100,800,12,191,0.99,0.057,0.389635310978629
Co0 Ni100 Fe0 800C 12h 2,0,100,0,100,800,12,133,0.91,0.126,0.344163936052634
Co0 Ni100 Fe0 800C 12h 4,0,100,0,100,800,12,144,0.97,0.111,0.112945634972902
Co0 Ni100 Fe0 800C 12h 5,0,100,0,100,800,12,233,1.37,0.063,0.135370651602137
Co75 Ni25 Fe0 300C 24h,75,25,0,100,300,24,185,1.08,0.2,0.375999226632871
Co75 Ni25 Fe0 300C 24h,75,25,0,100,300,24,190,1.14,0.124,0.215817008589961
Co50 Ni25 Fe25 400C 24h,50,25,25,50,400,24,106,0.67,1.598,6.99294750425551
Co0 Ni75 Fe25 600C 24h,0,75,25,75,600,24,142,0.97,0.092,0.173712171645
Co75 Ni0 Fe25 800C 24h,75,0,25,0,800,24,93,0.65,2.182,2.3320319306534
Co75 Ni0 Fe25 800C 24h,75,0,25,0,800,24,156,0.88,0.895,0.911569124460219
